MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
4.370861069626263,47,9.793317029024124,2.1137576330017382,4304,1.3398664990970186,39.22411384463545,-119.00830166737339,4.244384853793908
9.556428757689245,12,2.1602108474065957,1.5184026047817678,3857,1.9061278052485477,32.07391901444293,-117.99393370812817,5.1194962663937105
7.587945476302646,16,7.897441800057945,3.7044329256576445,427,5.785984817596173,37.09135412921599,-123.37520238642179,5.383969594322841
6.387926357773329,24,8.148798438308066,4.775929221452838,1899,5.45069026723457,33.39319482378046,-116.78775532501083,4.781838626172831
2.4041677639819286,19,3.949253728510933,2.075872126381544,414,4.261375554495251,40.66227030578677,-121.69604928485435,1.7429622741672697
2.403950683025824,8,7.372467548904298,2.901626431400295,3645,3.2982229869286868,40.715858828624064,-117.14798546230134,2.8885770598705807
1.5227525095137953,31,2.7434331550351194,3.537358958844817,1234,4.378806464476119,36.18345807493758,-114.18102859964755,0.9417379289840756
8.795585311974417,21,4.056378131456639,4.997864992862523,2846,4.093051445469695,36.4439561845108,-117.08894129946148,5.068127941531698
6.41003510568888,17,8.30321590633812,1.4192322599902885,4976,3.8427612780230604,35.03282939404527,-115.16806947076391,5.458639064602394
7.372653200164409,23,8.917489536268322,2.9942831980228366,1620,1.295885359317709,39.16606298960031,-114.51801493256933,5.813954336673928
1.185260448662222,37,6.8678913012783305,2.5404804796100002,255,4.164013053307535,35.586613630264594,-119.13248951647685,2.4030747086468685
9.72918866945795,16,6.054707454563861,4.463280660889421,1824,4.844600222855842,34.677924745226335,-116.97675020580293,6.222177970511007
8.491983767203795,6,3.2744321649518424,2.9038709240466236,3443,5.970408273227878,36.32231059504508,-115.48030746444158,4.155709454464835
2.9110519961044856,8,2.5048722646332013,1.4439100983405924,986,1.0553927629715485,32.914875183874585,-120.43391087125615,1.2920453778406737
2.636424704863906,25,2.941192227788469,3.5376965811463346,3173,4.650867266553384,39.46603204644204,-121.38602683439605,2.3407705192311323
2.650640588680904,18,3.8188584007687902,4.08312247305552,2905,3.8589465796799023,32.12596401271787,-114.53401427221661,2.0063910389240642
3.7381801866358395,25,4.733396015175367,1.0115250066624584,821,3.1702608804047836,38.44485061520594,-116.73696499631183,2.9771105783733365
5.72280788469014,12,5.047276204087898,4.435826741682519,1012,1.6378508728568544,33.82864526754872,-121.80317866624173,3.4982724235515006
4.887505167779041,15,4.770574148712028,1.7440920000226625,3457,3.045425743174381,34.32404046214413,-119.50916607323887,3.329825581833683
3.6210622617823773,26,3.912442657578125,3.2082774586135114,970,2.7718859149306763,38.3563199864004,-116.03548230462191,2.4482487986627004
6.506676052501415,41,6.077793974013585,2.6631900027498006,4208,2.514149444893711,41.92943465782907,-118.52937009081558,4.0581196232024785
2.2554447458683766,45,8.602288865863175,3.8786152664421216,597,4.654398116611039,39.777174890725504,-117.50047901834111,3.3527694719496792
3.629301836816963,26,4.237628307771834,2.4846464591429673,1856,4.503627606421319,34.25839632223392,-116.46231797954948,2.6767368182256894
4.297256589643226,47,9.539096152817866,4.4790527067268435,1217,3.9451004549045576,33.760247550411336,-117.77990811191019,4.22036014733828
5.104629857953324,32,8.986693293790783,3.921985443835161,3509,5.693324066466861,40.6623287026767,-118.59920678077805,4.016954637007602
8.066583652537123,10,3.294113690816877,3.590852684251686,2928,2.749271920904272,36.44183947921504,-116.50385715612227,4.565488945049605
2.7970640394252375,16,8.290207654056756,4.184962382251417,1747,2.219009688550898,33.370528028281555,-116.724369645678,2.6131160179063415
5.628109945722504,7,6.596699058542133,4.016092139713529,3083,4.279516565491997,40.62211423321938,-117.70127599816821,3.643770832526793
6.331731119758382,17,6.532602897371349,1.1437546996862133,242,1.9940703046870147,40.160923529142615,-120.4021058661807,4.940706450874229
1.4180537144799796,23,5.128342104465395,2.5789374153793125,2861,2.575052535917123,41.83906363897164,-119.94187907799729,2.985407955311572
6.467903667112945,26,6.009223993456078,4.723229189265959,3535,2.1230122003744243,41.09743686712684,-114.29561451115903,4.177806260417508
2.5347171131856236,21,5.177430219433688,1.5028970759689049,4760,1.345767838592506,40.51790338660542,-122.87614067708475,1.2356077673953527
1.5854643368675156,22,6.317860950079543,3.948386201728205,2531,5.137493708178367,32.52574397811003,-121.31495082747165,1.5771625214316045
9.539969835279999,7,7.023600422181087,4.898367245341319,4612,2.2727027146083056,33.04415369498118,-119.07598240795664,6.239256151336348
9.690688297671034,14,7.394430451272387,1.2087945161798865,1948,3.3651375167151034,37.68983194304123,-115.63270313856214,6.257683908489194
8.275576133048151,15,6.259849540475409,3.728775522506442,2796,1.2165763662715596,37.31479246281821,-122.36324336270272,5.68553904473824
